run_id,param_name,param_value,mass_kg,drag_area_m2,cd,ballistic_coeff_kg_m2,ballistic_factor_m2_kg,initial_altitude_km,initial_eccentricity,initial_inclination_deg,initial_raan_deg,final_altitude_km,final_eccentricity,deorbit_detected,lifetime_seconds,lifetime_hours,lifetime_days,initial_energy_j_kg,final_energy_j_kg,energy_loss_j_kg,mean_decay_rate_km_day,computation_time_ms
1,drag_area,0.01,4.0,0.01,2.2,181.8181818181818,0.0055000000000000005,250.0,0.001,51.6,45.0,-1.6763806343078612e-11,0.9983899370436967,True,1460676.509864742,405.7434749624283,16.90597812343451,-30099048.87939796,-62422554.600375645,32323505.720977686,14.78766849067875,71810.35495101241
2,drag_area,0.02,4.0,0.02,2.2,90.9090909090909,0.011000000000000001,250.0,0.001,51.6,45.0,0.0,0.9982388261918542,True,731480.8435454096,203.18912320705823,8.46621346696076,-30099048.87939796,-62423016.208907,32323967.329509042,29.529139676860304,65615.54437398445
3,drag_area,0.03,4.0,0.03,2.2,60.6060606060606,0.0165,250.0,0.001,51.6,45.0,9.313225746154785e-13,0.9981022404356054,True,488475.82305950887,135.68772862764135,5.6536553594850565,-30099048.87939796,-62423000.32777336,32323951.448375404,44.21917929266375,58447.84359500045
4,drag_area,0.04,4.0,0.04,2.2,45.45454545454545,0.022000000000000002,250.0,0.001,51.6,45.0,9.313225746154785e-13,0.9981556960637115,True,366984.0238416661,101.94000662268503,4.247500275945209,-30099048.87939796,-62423226.69143158,32324177.812033623,58.85814803022368,51917.445999977645
5,drag_area,0.05,4.0,0.05,2.2,36.36363636363636,0.027500000000000004,250.0,0.001,51.6,45.0,-9.313225746154785e-13,0.9977360672288786,True,294130.3430661243,81.70287307392341,3.4042863780801422,-30099048.87939796,-62422491.08294325,32323442.203545295,73.43682999459911,45720.93650896568
6,drag_area,0.06000000000000001,4.0,0.06000000000000001,2.2,30.303030303030294,0.03300000000000001,250.0,0.001,51.6,45.0,-9.313225746154785e-13,0.9965385220862278,True,245549.90997760184,68.20830832711162,2.842012846962984,-30099048.87939796,-62420230.78621341,32321181.906815454,87.96582333086725,39439.76408505114
7,drag_area,0.07,4.0,0.07,2.2,25.97402597402597,0.038500000000000006,250.0,0.001,51.6,45.0,0.0,0.9966047688719798,True,210848.2727190638,58.56896464418439,2.4403735268410163,-30099048.87939796,-62420393.7748336,32321344.89543564,102.44333387914465,35408.5052650189
8,drag_area,0.08,4.0,0.08,2.2,22.727272727272727,0.044000000000000004,250.0,0.001,51.6,45.0,-9.313225746154785e-13,0.9970221407820796,True,184849.2312020401,51.34700866723336,2.1394586944680567,-30099048.87939796,-62421224.9643533,32322176.084955342,116.85198720892322,32403.188040014356
9,drag_area,0.09,4.0,0.09,2.2,20.2020202020202,0.0495,250.0,0.001,51.6,45.0,9.313225746154785e-13,0.9986224585429296,True,164622.0487400128,45.72834687222578,1.9053477863427408,-30099048.87939796,-62424331.08626011,32325282.20686215,131.20964151110005,26001.268043008167
10,drag_area,0.1,4.0,0.1,2.2,18.18181818181818,0.05500000000000001,250.0,0.001,51.6,45.0,0.0,0.9986126441654847,True,148454.21854227243,41.23728292840901,1.718220122017042,-30099048.87939796,-62424328.4334776,32325279.554079644,145.49940184993386,22157.816827995703
