run_id,param_name,param_value,mass_kg,drag_area_m2,cd,ballistic_coeff_kg_m2,ballistic_factor_m2_kg,initial_altitude_km,initial_eccentricity,initial_inclination_deg,initial_raan_deg,final_altitude_km,final_eccentricity,deorbit_detected,lifetime_seconds,lifetime_hours,lifetime_days,initial_energy_j_kg,final_energy_j_kg,energy_loss_j_kg,mean_decay_rate_km_day,computation_time_ms
1,eccentricity,0.0,4.0,0.03,2.2,60.6060606060606,0.0165,25000.0,0.0,51.6,45.0,24999.293923777444,5.07846296789711e-05,False,2592000.0,720.0,30.0,-6351847.334656454,-6351850.001719739,2.6670632855966687,0.023535874085185544,13907.676431001164
2,eccentricity,0.125,4.0,0.03,2.2,60.6060606060606,0.0165,25000.0,0.125,51.6,45.0,22760.48201495871,0.12491382713523091,False,2592000.0,720.0,30.0,-6351987.320884841,-6352051.160931546,63.840046705678105,74.65059950137632,15516.400019987486
3,eccentricity,0.25,4.0,0.03,2.2,60.6060606060606,0.0165,25000.0,0.25,51.6,45.0,21168.209097009956,0.2498907118132375,False,2592000.0,720.0,30.0,-6352236.676147689,-6352323.463857733,86.78771004360169,127.72636343300147,19889.767321001273
4,eccentricity,0.375,4.0,0.03,2.2,60.6060606060606,0.0165,25000.0,0.375,51.6,45.0,20195.026476438947,0.37486635039878,False,2592000.0,720.0,30.0,-6352726.951789834,-6352825.236989218,98.28519938420504,160.16578411870177,21688.69389500469
5,eccentricity,0.5,4.0,0.03,2.2,60.6060606060606,0.0165,25000.0,0.5,51.6,45.0,19249.721472494504,0.4998171913464638,False,2592000.0,720.0,30.0,-6353836.133084642,-6353938.409862471,102.27677782904357,191.67595091684987,23323.70055699721
