run_id,param_name,param_value,mass_kg,drag_area_m2,cd,ballistic_coeff_kg_m2,ballistic_factor_m2_kg,initial_altitude_km,initial_eccentricity,initial_inclination_deg,initial_raan_deg,final_altitude_km,final_eccentricity,deorbit_detected,lifetime_seconds,lifetime_hours,lifetime_days,initial_energy_j_kg,final_energy_j_kg,energy_loss_j_kg,mean_decay_rate_km_day,computation_time_ms
1,drag_area,0.0,4.0,0.0,2.2,inf,0.0,25000.0,0.001,51.6,45.0,24979.14160096481,0.0009497631757366833,False,2592000.0,720.0,30.0,-6351848.188706167,-6351850.855958402,2.6672522351145744,0.6952799678396938,17280.170120997354
2,drag_area,0.010526315789473684,4.0,0.010526315789473684,2.2,172.72727272727272,0.005789473684210527,25000.0,0.001,51.6,45.0,24979.14160096481,0.0009497631757366833,False,2592000.0,720.0,30.0,-6351848.188706167,-6351850.855958402,2.6672522351145744,0.6952799678396938,24979.829494957812
3,drag_area,0.021052631578947368,4.0,0.021052631578947368,2.2,86.36363636363636,0.011578947368421053,25000.0,0.001,51.6,45.0,24979.14160096481,0.0009497631757366833,False,2592000.0,720.0,30.0,-6351848.188706167,-6351850.855958402,2.6672522351145744,0.6952799678396938,26615.434527979232
4,drag_area,0.031578947368421054,4.0,0.031578947368421054,2.2,57.575757575757564,0.01736842105263158,25000.0,0.001,51.6,45.0,24979.14160096481,0.0009497631757366833,False,2592000.0,720.0,30.0,-6351848.188706167,-6351850.855958402,2.6672522351145744,0.6952799678396938,26041.293690970633
5,drag_area,0.042105263157894736,4.0,0.042105263157894736,2.2,43.18181818181818,0.023157894736842106,25000.0,0.001,51.6,45.0,24979.14160096481,0.0009497631757366833,False,2592000.0,720.0,30.0,-6351848.188706167,-6351850.855958402,2.6672522351145744,0.6952799678396938,27218.67050800938
6,drag_area,0.05263157894736842,4.0,0.05263157894736842,2.2,34.54545454545455,0.02894736842105263,25000.0,0.001,51.6,45.0,24979.14160096481,0.0009497631757366833,False,2592000.0,720.0,30.0,-6351848.188706167,-6351850.855958402,2.6672522351145744,0.6952799678396938,26852.500602020882
7,drag_area,0.06315789473684211,4.0,0.06315789473684211,2.2,28.787878787878782,0.03473684210526316,25000.0,0.001,51.6,45.0,24979.14160096481,0.0009497631757366833,False,2592000.0,720.0,30.0,-6351848.188706167,-6351850.855958402,2.6672522351145744,0.6952799678396938,25601.288299949374
8,drag_area,0.07368421052631578,4.0,0.07368421052631578,2.2,24.675324675324678,0.04052631578947368,25000.0,0.001,51.6,45.0,24979.14160096481,0.0009497631757366833,False,2592000.0,720.0,30.0,-6351848.188706167,-6351850.855958402,2.6672522351145744,0.6952799678396938,26776.731901976746
9,drag_area,0.08421052631578947,4.0,0.08421052631578947,2.2,21.59090909090909,0.04631578947368421,25000.0,0.001,51.6,45.0,24979.14160096481,0.0009497631757366833,False,2592000.0,720.0,30.0,-6351848.188706167,-6351850.855958402,2.6672522351145744,0.6952799678396938,23485.39965803502
10,drag_area,0.09473684210526316,4.0,0.09473684210526316,2.2,19.19191919191919,0.052105263157894745,25000.0,0.001,51.6,45.0,24979.14160096481,0.0009497631757366833,False,2592000.0,720.0,30.0,-6351848.188706167,-6351850.855958402,2.6672522351145744,0.6952799678396938,24734.474548022263
