run_id,param_name,param_value,mass_kg,drag_area_m2,cd,ballistic_coeff_kg_m2,ballistic_factor_m2_kg,initial_altitude_km,initial_eccentricity,initial_inclination_deg,initial_raan_deg,final_altitude_km,final_eccentricity,deorbit_detected,lifetime_seconds,lifetime_hours,lifetime_days,initial_energy_j_kg,final_energy_j_kg,energy_loss_j_kg,mean_decay_rate_km_day,computation_time_ms
1,altitude_km,200.0,4.0,0.08,2.2,22.727272727272727,0.044000000000000004,200.0,0.001,51.6,45.0,0.0,0.9973463725828452,True,34491.82721561075,9.58106311544743,0.3992109631436429,-30328294.706363674,-62421850.15687394,32093555.450510267,500.988245475705,11146.544028015342
2,altitude_km,320.0,4.0,0.08,2.2,22.727272727272727,0.044000000000000004,320.0,0.001,51.6,45.0,9.313225746154785e-13,0.9985929031674301,True,1119076.6455641182,310.8546237678106,12.952275990325441,-29783871.669118553,-62424253.74879966,32640382.079681106,24.706082563328604,86624.13186399499
3,altitude_km,440.0,4.0,0.08,2.2,22.727272727272727,0.044000000000000004,440.0,0.001,51.6,45.0,418.63425349619706,0.0004841354641230032,False,2592000.0,720.0,30.0,-29258667.903920043,-29314068.12433574,55400.2204156965,0.7121915501267646,148741.52264703298
4,altitude_km,560.0,4.0,0.08,2.2,22.727272727272727,0.044000000000000004,560.0,0.001,51.6,45.0,552.1493707384141,0.0003625266902686269,False,2592000.0,720.0,30.0,-28751682.44055552,-28758687.985772457,7005.545216936618,0.26168764205286454,149008.2422720152
5,altitude_km,680.0,4.0,0.08,2.2,22.727272727272727,0.044000000000000004,680.0,0.001,51.6,45.0,672.85209635814,0.0006240870866371374,False,2592000.0,720.0,30.0,-28261982.6910365,-28263155.62829666,1172.93726015836,0.23826345472866706,146170.79411802115
6,altitude_km,800.0,4.0,0.08,2.2,22.727272727272727,0.044000000000000004,800.0,0.001,51.6,45.0,793.475490650815,0.0007480479257931771,False,2592000.0,720.0,30.0,-27788698.703443874,-27788978.594514534,279.8910706602037,0.21748364497283318,146374.7230229783
