run_id,param_name,param_value,mass_kg,drag_area_m2,cd,ballistic_coeff_kg_m2,ballistic_factor_m2_kg,initial_altitude_km,initial_eccentricity,initial_inclination_deg,initial_raan_deg,final_altitude_km,final_eccentricity,deorbit_detected,lifetime_seconds,lifetime_hours,lifetime_days,initial_energy_j_kg,final_energy_j_kg,energy_loss_j_kg,mean_decay_rate_km_day,computation_time_ms
25,altitude_km,474.2857142857143,4.0,0.03,2.2,60.6060606060606,0.0165,474.2857142857143,0.001,51.6,45.0,463.1468804012388,0.00046216136931867953,False,2592000.0,720.0,30.0,-29111997.91777259,-29122605.310275733,10607.392503142357,0.3712944628158501,28272.190504008904
26,altitude_km,485.7142857142857,4.0,0.03,2.2,60.6060606060606,0.0165,485.7142857142857,0.001,51.6,45.0,477.70065964308475,0.0007577580119741089,False,2592000.0,720.0,30.0,-29063434.453022216,-29072168.05141098,8733.598388765007,0.26712086904003246,41357.7679930022
27,altitude_km,497.14285714285717,4.0,0.03,2.2,60.6060606060606,0.0165,497.14285714285717,0.001,51.6,45.0,489.9236695786044,0.00021317620959226442,False,2592000.0,720.0,30.0,-29015032.89157195,-29022228.35509329,7195.463521338999,0.24063958547509212,28721.959124028217
28,altitude_km,508.5714285714286,4.0,0.03,2.2,60.6060606060606,0.0165,508.5714285714286,0.001,51.6,45.0,500.6359384161243,0.0007444565215352865,False,2592000.0,720.0,30.0,-28966792.424386933,-28972729.787793413,5937.363406479359,0.2645163385101436,28106.768385041505
29,altitude_km,520.0,4.0,0.03,2.2,60.6060606060606,0.0165,520.0,0.001,51.6,45.0,512.9498897956843,0.00043258250569397236,False,2592000.0,720.0,30.0,-28918712.247818578,-28923652.382531755,4940.134713176638,0.23500367347719095,28041.22879402712
30,altitude_km,531.4285714285714,4.0,0.03,2.2,60.6060606060606,0.0165,531.4285714285714,0.001,51.6,45.0,523.7786662714127,0.000811254057852799,False,2592000.0,720.0,30.0,-28870791.56355974,-28874903.61407132,4112.050511579961,0.25499683857195804,27163.31601201091
31,altitude_km,542.8571428571429,4.0,0.03,2.2,60.6060606060606,0.0165,542.8571428571429,0.001,51.6,45.0,533.3956617245796,0.00032151613996852206,False,2592000.0,720.0,30.0,-28823029.578600366,-28826453.213450577,3423.6348502114415,0.31538270441877786,29041.67382698506
32,altitude_km,554.2857142857142,4.0,0.03,2.2,60.6060606060606,0.0165,554.2857142857142,0.001,51.6,45.0,545.4610605597254,0.00038729774405667553,False,2592000.0,720.0,30.0,-28775425.505183637,-28778276.58294442,2851.077760782093,0.294155124199627,26380.883393983822
33,altitude_km,565.7142857142858,4.0,0.03,2.2,60.6060606060606,0.0165,565.7142857142858,0.001,51.6,45.0,559.2276709903116,0.0007761427221027532,False,2592000.0,720.0,30.0,-28727978.56076254,-28730353.28242501,2374.7216624692082,0.2162204907991395,27764.180217985995
34,altitude_km,577.1428571428571,4.0,0.03,2.2,60.6060606060606,0.0165,577.1428571428571,0.001,51.6,45.0,571.5089427897138,0.00044782420230664484,False,2592000.0,720.0,30.0,-28680687.9679567,-28682666.237751916,1978.26979521662,0.1877971451047756,28089.035301003605
35,altitude_km,588.5714285714286,4.0,0.03,2.2,60.6060606060606,0.0165,588.5714285714286,0.001,51.6,45.0,582.2596931782458,0.0005681536695600918,False,2592000.0,720.0,30.0,-28633552.954509865,-28635201.169556253,1648.2150463871658,0.21039117977275812,27646.037591970526
36,altitude_km,600.0,4.0,0.03,2.2,60.6060606060606,0.0165,600.0,0.001,51.6,45.0,593.466665499691,0.0006744524488710477,False,2592000.0,720.0,30.0,-28586572.75324775,-28587946.125191867,1373.3719441182911,0.21777781667696747,30962.272664997727
