run_id,param_name,param_value,mass_kg,drag_area_m2,cd,ballistic_coeff_kg_m2,ballistic_factor_m2_kg,initial_altitude_km,initial_eccentricity,initial_inclination_deg,initial_raan_deg,final_altitude_km,final_eccentricity,deorbit_detected,lifetime_seconds,lifetime_hours,lifetime_days,initial_energy_j_kg,final_energy_j_kg,energy_loss_j_kg,mean_decay_rate_km_day,computation_time_ms
1,mass,1.0,1.0,0.03,2.2,15.15151515151515,0.066,250.0,0.001,51.6,45.0,0.0,0.9980208491094292,True,124211.34775147616,34.50315215318782,1.4376313397161593,-30099048.87939796,-62423211.8631923,32324162.98379434,173.89715505879212,2809.1011209762655
2,mass,2.0,2.0,0.03,2.2,30.3030303030303,0.033,250.0,0.001,51.6,45.0,0.0,0.9965385167972358,True,245550.55647263452,68.20848790906514,2.842020329544381,-30099048.87939796,-62420230.77601818,32321181.89662022,87.9655917310341,3529.9384650425054
3,mass,4.0,4.0,0.03,2.2,60.6060606060606,0.0165,250.0,0.001,51.6,45.0,9.313225746154785e-13,0.9981080858738954,True,488478.4927480516,135.6884702077921,5.653686258658005,-30099048.87939796,-62423011.60665272,32323962.727254763,44.21893762094621,5808.792204014026
4,mass,8.0,8.0,0.03,2.2,121.2121212121212,0.00825,250.0,0.001,51.6,45.0,183.42056123619807,0.0008171616681990467,False,864000.0,240.0,10.0,-30099048.87939796,-30375091.89579433,276043.0163963698,6.657943876380193,8655.477610998787
