run_id,param_name,param_value,mass_kg,drag_area_m2,cd,ballistic_coeff_kg_m2,ballistic_factor_m2_kg,initial_altitude_km,initial_eccentricity,initial_inclination_deg,initial_raan_deg,final_altitude_km,final_eccentricity,deorbit_detected,lifetime_seconds,lifetime_hours,lifetime_days,initial_energy_j_kg,final_energy_j_kg,energy_loss_j_kg,mean_decay_rate_km_day,computation_time_ms
1,altitude_km,200.0,4.0,0.03,2.2,60.6060606060606,0.0165,200.0,0.001,51.6,45.0,0.0,0.996569116064823,True,87599.85953110826,24.33329431419674,1.0138872630915308,-30328294.706363674,-62420042.128782704,32091747.42241903,197.2605902851199,17646.666485001333
2,altitude_km,222.22222222222223,4.0,0.03,2.2,60.6060606060606,0.0165,222.22222222222223,0.001,51.6,45.0,9.313225746154785e-13,0.9982185049979563,True,202646.6475695035,56.29073543597319,2.3454473098322164,-30225977.577933542,-62423224.66240021,32197247.084466666,94.74620098718745,31431.810465001035
3,altitude_km,244.44444444444446,4.0,0.03,2.2,60.6060606060606,0.0165,244.44444444444446,0.001,51.6,45.0,9.313225746154785e-13,0.9970741661025472,True,413072.3041997584,114.7423067221551,4.7809294467564625,-30124349.179853838,-62421016.635996364,32296667.456142526,51.12906332685636,55535.234890994616
4,altitude_km,266.66666666666663,4.0,0.03,2.2,60.6060606060606,0.0165,266.66666666666663,0.001,51.6,45.0,-2.7939677238464356e-12,0.9965463322436643,True,790903.4059156874,219.6953905321354,9.153974605505642,-30023402.574535534,-62419998.16678018,32396595.592244647,29.131243875887883,102664.68655795325
5,altitude_km,288.8888888888889,4.0,0.03,2.2,60.6060606060606,0.0165,288.8888888888889,0.001,51.6,45.0,247.262318030742,0.0004067051458226362,False,864000.0,240.0,10.0,-29923130.9173438,-30080623.661369387,157492.74402558804,4.162657085814692,102539.55610003322
6,altitude_km,311.1111111111111,4.0,0.03,2.2,60.6060606060606,0.0165,311.1111111111111,0.001,51.6,45.0,285.46973030694386,0.0004349922165661305,False,864000.0,240.0,10.0,-29823527.455045067,-29904945.07876685,81417.62372178212,2.564138080416723,99135.75088203652
7,altitude_km,333.3333333333333,4.0,0.03,2.2,60.6060606060606,0.0165,333.3333333333333,0.001,51.6,45.0,316.35806834371203,0.0006360718009121919,False,864000.0,240.0,10.0,-29724585.524284914,-29773955.796955414,49370.27267049998,1.697526498962128,100611.58908397192
8,altitude_km,355.55555555555554,4.0,0.03,2.2,60.6060606060606,0.0165,355.55555555555554,0.001,51.6,45.0,343.0823110646922,0.0004794460675964871,False,864000.0,240.0,10.0,-29626298.55009638,-29657554.385671053,31255.835574671626,1.247324449086335,99355.29213299742
9,altitude_km,377.77777777777777,4.0,0.03,2.2,60.6060606060606,0.0165,377.77777777777777,0.001,51.6,45.0,365.96351078695056,0.0007142456476237757,False,864000.0,240.0,10.0,-29528660.044437967,-29548677.397724267,20017.353286299855,1.1814266990827207,90786.68096096953
10,altitude_km,400.0,4.0,0.03,2.2,60.6060606060606,0.0165,400.0,0.001,51.6,45.0,390.5197512930585,0.0008180929288092066,False,864000.0,240.0,10.0,-29431663.604760457,-29444585.973109145,12922.368348687887,0.9480248706941495,79288.42588502448
